weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
0,-0.0411,0.0009275,32,0.1,104046302.1,0.4256,-4360000000,-0.06,0,29,90,0
0,-0.0476,0.0009152,36,0.1,120437097.2,,,0,160000000,29,90,0.05
1,-0.049,0.000884,40,0.1,124000000,,,,,,,0.1
1,-0.0473,0.0009138,44,0.1,119724405.7,,,,,,,0.15
1,-0.0473,0.000869,48,0.1,119724405.7,,,,,,,0.2
1,-0.0409,0.000817145,58,0.1,103333610.7,,,,,,,0.25
1,-0.0358,0.000715704,66,0.1,90505718.44,,,,,,,0.3
1,-0.0279,0.000557914,72,0.1,70552020.57,,,,,,,0.35
1,-0.0211,0.000422662,80,0.1,53448534.05,,,,,,,0.4
