;Start wavelength (nm)         190
;End wavelength (nm)           200
;Wavelength step (nm)          0.5
;Num. of completed scans       1
;Num. of points                21
;Num. of avg. per point        15/ cRio 100 ms
;Time between reads            2.6945
;UnduPos Start/End             25.95/25.95
;Table pos                     -300.0
;n/a                           ###
;Grating                       HEG
;  Comments:
;  Sample: Ammonia Depos5  T25=K
;  110-220 0.5nm 15av 1sc PDVacON
;  Slits100/100 Table -300kstp PPM207deg
;Lambda        Keith/nA        Ch1/volts       Ch2/volts       Ch3/volts       Z_Motor         Beam_current    temperature     GC_Pres         Time            UBX_x           UBX_y
190.000        1.92426         -0.00054        0.00060         -0.00010        4.0046          179.6375        -50.16          0.000           13:40:20         0.001156        0.000961 
190.500        1.92492         -0.00054        0.00060         -0.00010        4.1103          179.5641        -50.12          0.000           13:40:23         0.001172        0.001066 
191.000        1.92073         -0.00054        0.00060         -0.00010        4.2160          179.5000        -50.16          0.000           13:40:25         0.001172        0.000998 
191.500        1.91568         -0.00054        0.00060         -0.00010        4.3217          179.4267        -50.12          0.000           13:40:28         0.001172        0.000998 
192.000        1.91070         -0.00054        0.00060         -0.00010        4.4274          179.3717        -50.12          0.000           13:40:31         0.001029        0.001038 
192.500        1.89789         -0.00054        0.00060         -0.00010        4.5331          179.2984        -50.16          0.000           13:40:33         0.000589        0.001025 
193.000        1.92286         -0.00054        0.00060         -0.00010        4.6389          182.8543        -50.12          0.000           13:40:42         0.001342        0.000756 
193.500        1.91027         -0.00054        0.00060         -0.00010        4.7447          182.7993        -50.16          0.000           13:40:45         0.001032        0.000665 
194.000        1.89379         -0.00054        0.00060         -0.00010        4.8505          182.7260        -50.16          0.000           13:40:47         0.001044        0.000583 
194.500        1.87822         -0.00053        0.00060         -0.00010        4.9563          182.6710        -50.16          0.000           13:40:50         0.001031        0.000686 
195.000        1.86353         -0.00054        0.00060         -0.00010        5.0621          182.6068        -50.16          0.000           13:40:52         0.001043        0.000746 
195.500        1.84844         -0.00054        0.00060         -0.00010        5.1679          182.5335        -50.16          0.000           13:40:55         0.001113        0.000698 
196.000        1.83600         -0.00054        0.00060         -0.00010        5.2738          182.4419        -50.16          0.000           13:40:58         0.001113        0.000698 
196.500        1.82406         -0.00054        0.00060         -0.00010        5.3797          182.3777        -50.16          0.000           13:41:01         0.001113        0.000663 
197.000        1.81181         -0.00054        0.00060         -0.00010        5.4856          182.3135        -50.16          0.000           13:41:03         0.001113        0.000695 
197.500        1.80187         -0.00054        0.00060         -0.00010        5.5915          182.2494        -50.16          0.000           13:41:06         0.001113        0.00065 
198.000        1.79601         -0.00054        0.00060         -0.00010        5.6974          182.1852        -50.16          0.000           13:41:08         0.001113        0.000668 
198.500        1.78912         -0.00054        0.00060         -0.00010        5.8033          182.1119        -50.16          0.000           13:41:12         0.001113        0.000794 
199.000        1.78504         -0.00054        0.00060         -0.00010        5.9093          182.0478        -50.16          0.000           13:41:14         0.001113        0.000797 
199.500        1.77930         -0.00054        0.00060         -0.00010        6.0153          181.9836        -50.16          0.000           13:41:17         0.001113        0.000802 
200.000        1.77272         -0.00054        0.00060         -0.00010        6.1213          181.9103        -50.16          0.000           13:41:19         0.001113        0.00078 
