# wavelength/nm normalised current
1.910000000000000000e+02 1.926080222841225487e+00
1.915000000000000000e+02 1.921800935981099689e+00
1.920000000000000000e+02 1.917392765971443591e+00
1.925000000000000000e+02 1.905316500314559569e+00
1.930000000000000000e+02 1.892844740320572150e+00
1.935000000000000000e+02 1.881017049846471112e+00
1.940000000000000000e+02 1.865537471405273484e+00
1.945000000000000000e+02 1.850756825111813164e+00
1.950000000000000000e+02 1.836927211911057123e+00
1.955000000000000000e+02 1.822784310825136256e+00
1.960000000000000000e+02 1.811425993699912196e+00
1.965000000000000000e+02 1.800279310463943849e+00
1.970000000000000000e+02 1.788818710627572584e+00
1.975000000000000000e+02 1.779630550224033714e+00
1.980000000000000000e+02 1.774467958978007021e+00
1.985000000000000000e+02 1.768372083318003885e+00
1.990000000000000000e+02 1.764960631218833731e+00
1.995000000000000000e+02 1.759905837668888751e+00
2.000000000000000000e+02 1.754104083166263983e+00
